,NOOUT,NO2OUT,O3OUT,NO,NO2,O3,H2O,temp,J4
63900,57481665046,1.67E+11,8.67E+11,4.98E+11,8.43E+11,2.36E+11,3.55E+17,297.7374135,0.002407233
64200,57596441363,1.70E+11,8.50E+11,3.25E+11,9.62E+11,2.72E+11,3.65E+17,297.6812805,0.002242381
64500,63780835753,1.72E+11,8.59E+11,2.37E+11,9.49E+11,3.05E+11,3.68E+17,297.6089501,0.002001083
64800,64861977705,1.45E+11,8.41E+11,1.62E+11,9.03E+11,3.19E+11,3.67E+17,297.5579861,0.002061462
65100,65016088975,1.41E+11,8.32E+11,1.02E+11,8.50E+11,2.95E+11,3.63E+17,297.584164,0.001824615
65400,65120086447,1.42E+11,8.34E+11,77555389767,7.79E+11,3.06E+11,3.56E+17,297.635879,0.002095562
65700,65217301805,1.44E+11,8.36E+11,66775291454,7.04E+11,2.96E+11,3.48E+17,297.6472933,0.002071881
66000,65313599310,1.46E+11,8.39E+11,65343419994,6.29E+11,2.72E+11,3.43E+17,297.6311776,0.001932684
66300,62743421703,1.44E+11,7.68E+11,64533178739,5.64E+11,2.41E+11,3.37E+17,297.6215127,0.001489432
66600,56687865887,1.49E+11,7.62E+11,63775026032,5.07E+11,2.37E+11,3.34E+17,297.6202047,0.000957447
67500,58479960495,1.44E+11,7.60E+11,67071178967,3.45E+11,1.95E+11,3.53E+17,297.955662,0.001381048
68400,55772328657,1.35E+11,6.70E+11,71387253221,2.89E+11,1.73E+11,3.33E+17,297.882238,0.001101898
69300,54460261572,1.31E+11,6.84E+11,79625181963,2.51E+11,1.59E+11,3.21E+17,297.7345635,0.000795147
70200,53100824675,1.23E+11,6.97E+11,90735208976,2.23E+11,1.54E+11,3.17E+17,297.6173052,0.000563896
71100,47030220471,1.14E+11,6.99E+11,97457340535,2.00E+11,1.80E+11,3.59E+17,297.7071308,0.000285688
72000,42226711500,1.10E+11,6.26E+11,1.06E+11,1.91E+11,1.45E+11,3.62E+17,298.0336495,0.000100012
72900,41744532621,1.09E+11,6.39E+11,1.17E+11,1.82E+11,1.20E+11,3.45E+17,297.9399811,1.95E-05
73800,39368374299,1.33E+11,5.80E+11,1.22E+11,1.76E+11,1.17E+11,3.90E+17,297.9656346,2.67E-06
74700,38467266876,1.53E+11,5.61E+11,1.39E+11,1.70E+11,1.21E+11,3.72E+17,298.0120268,3.60E-07
75600,37068135332,1.51E+11,4.74E+11,1.58E+11,1.64E+11,1.25E+11,3.61E+17,297.6422073,4.85E-08
76500,35633724138,1.62E+11,4.92E+11,1.80E+11,1.61E+11,1.46E+11,3.90E+17,297.92761,6.55E-09
77400,35385550794,1.55E+11,4.96E+11,2.01E+11,1.64E+11,1.16E+11,4.00E+17,298.0429421,8.84E-10
78300,33693178229,1.36E+11,5.10E+11,2.23E+11,1.62E+11,1.47E+11,3.79E+17,298.0451864,1.19E-10
79200,33278132605,1.61E+11,4.60E+11,2.40E+11,1.55E+11,1.24E+11,4.04E+17,298.037235,1.61E-11
80100,38160713555,1.69E+11,4.51E+11,2.63E+11,1.54E+11,1.31E+11,3.70E+17,297.7956395,2.17E-12
81000,37648468306,1.42E+11,4.97E+11,2.72E+11,1.46E+11,1.14E+11,3.91E+17,297.5107328,2.93E-13
81900,34951788329,1.25E+11,4.87E+11,2.77E+11,1.45E+11,1.13E+11,3.84E+17,297.768746,3.95E-14
82800,32481835118,1.17E+11,4.50E+11,2.78E+11,1.44E+11,1.16E+11,4.06E+17,297.8131942,5.34E-15
83700,31037292799,1.13E+11,4.71E+11,2.87E+11,1.45E+11,1.23E+11,3.81E+17,297.8058743,7.20E-16
84600,30659708422,1.13E+11,3.95E+11,2.88E+11,1.38E+11,1.19E+11,4.11E+17,297.653862,9.71E-17
85500,30659708422,1.13E+11,3.95E+11,2.88E+11,1.38E+11,1.19E+11,4.11E+17,297.653862,9.71E-17
